Level,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
High,,,,,,,,,,559.697814349404,530.530527163337,628.716309339008,615.944840334006,606.129749840199,454.853135664809,548.423330916587,615.370231195732,679.307946406722,657.843523779524,399.067905302786,348.226969352027,258.236586604199,132.111727564724,40.1778500378303
Low,,,,,,,,,,110.461244239631,217.695524833589,136.332017409114,164.616080389145,128.458699436764,115.043213005632,199.790873015873,121.621111111111,199.018968253968,150.593492063492,123.837777777778,79.4099206349207,81.8111904761905,46.3340476190476,38.8282967032967
Total,,,,,,,,,,478.018437965809,473.651435830655,539.191892624482,533.885065798577,519.280467948665,393.06951336314,485.035611298275,525.597663907619,591.982677651676,565.6162452857,349.026063934602,299.351142312553,226.159241853652,116.515785756419,39.9324767042787
